╚╒╞┌,╩▒╝ф(▒▒╛й╩▒),╬│╢╚(╢╚-╖╓),╛н╢╚(╢╚-╖╓),╔ю╢╚(km),╒Ё╝╢,┴╥╢╚,╛л╚╖╢╚,▓╬┐╝╡╪╡у
294/07/00,::.,"32бу36""","116бу48""",,5.5,VII,9,
294/09/00,::.,"40бу18""","116бу00""",,5.5,VII,9,
319/06/17,::.,"34бу06""","105бу18""",,4.5,,9,
344/00/00,::.,"35бу24""","114бу18""",,5.5,,9,
373/08/00,::.,"36бу36""","101бу48""",,4.75,VI,9,
406/06/00,::.,"36бу06""","104бу12""",,5.5,,9,
408/00/00,::.,"36бу48""","118бу18""",,5,,9,
408/00/00,::.,"39бу00""","100бу30""",,4.75,VI,9,
416/00/00,::.,"34бу18""","105бу30""",,5,VI,9,
421/00/00,::.,"41бу36""","120бу24""",,5,VI,9,
462/08/16,::.,"35бу00""","116бу48""",,6,VIII,9,
495/03/31,::.,"37бу30""","121бу30""",,5.5,VII,9,
499/08/04,::.,"32бу06""","118бу48""",,5,VI,9,
506/08/30,::.,"37бу54""","102бу36""",,4.75,VI,9,
512/05/21,::.,"39бу24""","113бу18""",,7.5,X,9,
575/01/14,::.,"37бу54""","102бу36""",,5.5,VII,9,
600/12/13,::.,"34бу18""","108бу54""",,5.5,VII,9,
625/08/15,::.,"27бу54""","102бу12""",,4.75,VI,9,
638/02/11,::.,"32бу36""","103бу36""",,5,VI,9,
649/09/12,::.,"36бу06""","111бу30""",,5.5,VII,9,
692/00/00,::.,"37бу24""","117бу36""",,5,VI,9,
734/03/19,::.,"34бу36""","105бу36""",,7,IX,9,
756/11/27,::.,"39бу12""","99бу30""",,6,VII,9,
777/00/00,::.,"37бу48""","115бу12""",,6,VIII,9,
788/03/08,::.,"32бу30""","109бу24""",,6.5,VIII,9,
793/05/27,::.,"34бу30""","109бу42""",,6,,9,
814/04/02,::.,"27бу54""","102бу12""",,6.5,,9,
835/04/11,::.,"34бу18""","108бу54""",,4.75,VI,9,
836/02/25,::.,"34бу18""","108бу54""",,4.75,VI,9,
839/00/00,::.,"34бу24""","104бу00""",,6.5,,9,
865/12/00,::.,"35бу54""","111бу24""",,5.5,VII,9,
867/02/14,::.,"35бу54""","111бу24""",,5.5,VII,9,
876/07/14,::.,"37бу48""","105бу54""",,6.5,VIII,9,
879/03/00,::.,"34бу12""","109бу18""",,4.75,VI,9,
880/02/00,::.,"34бу30""","107бу48""",,4.75,VI,9,
886/00/00,::.,"25бу42""","100бу06""",,5.5,VII,9,
929/00/00,::.,"30бу18""","120бу30""",,5,VI,9,
953/11/00,::.,"36бу18""","115бу06""",,4.75,VI,9,
999/10/00,::.,"31бу48""","119бу54""",,5.5,VII,9,
1011/08/00,::.,"38бу12""","114бу36""",,4.75,VI,9,
1022/04/00,::.,"39бу48""","113бу06""",,6.5,VIII,9,
1038/01/09,::.,"38бу24""","112бу54""",,7.25,X,9,
1046/04/18,::.,"37бу48""","120бу42""",,5,VI,9,
1057/00/00,::.,"39бу42""","116бу18""",,6.75,IX,9,
1067/11/00,::.,"23бу36""","116бу30""",,6.75,IX,9,
1068/08/14,::.,"38бу30""","116бу06""",,6,VIII,9,
1069/01/18,::.,"38бу18""","116бу48""",,4.75,VI,9,
1076/12/00,::.,"39бу54""","116бу24""",,5,VI,9,
1092/00/00,::.,"37бу54""","102бу36""",,4.75,VI,9,
1111/00/00,::.,"25бу42""","100бу12""",,5,,9,
1125/08/30,::.,"36бу06""","103бу42""",,7,IX,9,
1143/04/00,::.,"38бу30""","106бу18""",,6.5,VIII,9,
1169/01/24,::.,"31бу54""","104бу24""",,4.75,VI,9,
1209/12/04,::.,"36бу00""","111бу48""",,6.5,,9,
1213/06/26,::.,"29бу36""","118бу54""",,4.75,VI,9,
1216/03/17,::.,"28бу18""","103бу36""",,6.5,,9,
1219/06/02,::.,"36бу00""","106бу12""",,6.5,,9,
1227/07/00,::.,"38бу30""","106бу18""",,5.5,VII,9,
1290/09/27,::.,"41бу36""","119бу18""",,6.75,IX,9,
1291/08/25,::.,"36бу06""","111бу30""",,6.5,VIII,9,
1303/09/17,::.,"36бу18""","111бу42""",,8,XI,9,
1304/02/00,::.,"36бу06""","111бу30""",,5.5,VII,9,
1304/09/03,::.,"37бу30""","112бу36""",,4.75,VI,9,
1305/05/03,::.,"39бу48""","113бу06""",,6.5,,9,
1306/09/12,::.,"35бу54""","106бу06""",,6.5,,9,
1307/00/00,::.,"34бу30""","107бу48""",,5,VI,9,
1314/10/05,::.,"36бу36""","113бу48""",,6,VIII,9,
1316/00/00,::.,"36бу24""","111бу06""",,5.5,VII,9,
1322/00/00,::.,"40бу36""","115бу00""",,4.5,,9,
1327/09/00,::.,"30бу06""","102бу42""",,4.75,VI,9,
1332/06/00,::.,"24бу42""","102бу48""",,5.5,,9,
1336/00/00,::.,"30бу06""","115бу54""",,4.75,VI,9,
1337/09/08,::.,"40бу24""","115бу42""",,6.5,VIII,9,
1338/08/02,::.,"40бу24""","115бу12""",,5,VI,9,
1342/04/15,::.,"29бу30""","114бу30""",,4.75,VI,9,
1342/05/05,::.,"37бу54""","112бу36""",,5.5,VII,9,
1343/05/00,::.,"38бу54""","113бу48""",,4.75,VI,9,
1346/04/00,::.,"37бу06""","118бу00""",,4.75,VI,9,
1351/05/14,::.,"37бу18""","113бу00""",,5.5,VII,9,
1352/04/18,::.,"35бу36""","105бу18""",,7,IX,9,
1361/00/00,::.,"28бу48""","115бу18""",,5,VI,9,
1368/07/08,::.,"37бу36""","112бу30""",,6,VII,9,
1372/08/16,::.,"32бу00""","118бу48""",,4.75,VI,9,
